2025-02-24 21:19:17,078 - INFO - [LOG] Gesture: X | FPS: 27.88 | Ratio: 0.59 | Similarity: 97.74%
2025-02-24 21:19:17,111 - INFO - [LOG] Gesture: X | FPS: 30.15 | Ratio: 0.58 | Similarity: 96.20%
2025-02-24 21:19:17,146 - INFO - [LOG] Gesture: X | FPS: 29.50 | Ratio: 0.58 | Similarity: 96.60%
2025-02-24 21:19:17,212 - INFO - [LOG] Gesture: X | FPS: 15.36 | Ratio: 0.58 | Similarity: 97.23%
2025-02-24 21:19:17,278 - INFO - [LOG] Gesture: X | FPS: 15.16 | Ratio: 0.58 | Similarity: 97.32%
2025-02-24 21:19:17,312 - INFO - [LOG] Gesture: X | FPS: 28.15 | Ratio: 0.58 | Similarity: 97.37%
2025-02-24 21:19:17,344 - INFO - [LOG] Gesture: X | FPS: 31.04 | Ratio: 0.58 | Similarity: 97.35%
2025-02-24 21:19:17,378 - INFO - [LOG] Gesture: X | FPS: 29.46 | Ratio: 0.58 | Similarity: 96.96%
2025-02-24 21:19:17,445 - INFO - [LOG] Gesture: X | FPS: 15.30 | Ratio: 0.59 | Similarity: 97.82%
2025-02-24 21:19:17,476 - INFO - [LOG] Gesture: X | FPS: 31.09 | Ratio: 0.59 | Similarity: 97.65%
2025-02-24 21:19:17,510 - INFO - [LOG] Gesture: X | FPS: 29.14 | Ratio: 0.59 | Similarity: 98.25%
2025-02-24 21:19:17,545 - INFO - [LOG] Gesture: X | FPS: 28.57 | Ratio: 0.59 | Similarity: 97.50%
2025-02-24 21:19:17,577 - INFO - [LOG] Gesture: X | FPS: 30.49 | Ratio: 0.59 | Similarity: 98.04%
2025-02-24 21:19:17,612 - INFO - [LOG] Gesture: X | FPS: 29.68 | Ratio: 0.59 | Similarity: 98.53%
2025-02-24 21:19:17,678 - INFO - [LOG] Gesture: X | FPS: 15.40 | Ratio: 0.59 | Similarity: 98.71%
2025-02-24 21:19:17,743 - INFO - [LOG] Gesture: X | FPS: 15.37 | Ratio: 0.59 | Similarity: 98.78%
2025-02-24 21:19:17,778 - INFO - [LOG] Gesture: X | FPS: 27.58 | Ratio: 0.59 | Similarity: 98.07%
2025-02-24 21:19:17,810 - INFO - [LOG] Gesture: X | FPS: 30.34 | Ratio: 0.59 | Similarity: 97.99%
2025-02-24 21:19:17,844 - INFO - [LOG] Gesture: X | FPS: 29.58 | Ratio: 0.58 | Similarity: 96.85%
2025-02-24 21:19:17,874 - INFO - [LOG] Gesture: X | FPS: 33.23 | Ratio: 0.59 | Similarity: 98.07%
2025-02-24 21:19:17,910 - INFO - [LOG] Gesture: X | FPS: 28.11 | Ratio: 0.59 | Similarity: 97.96%
2025-02-24 21:19:17,943 - INFO - [LOG] Gesture: X | FPS: 30.65 | Ratio: 0.59 | Similarity: 98.97%
2025-02-24 21:19:17,977 - INFO - [LOG] Gesture: X | FPS: 28.90 | Ratio: 0.59 | Similarity: 98.83%
2025-02-24 21:19:18,011 - INFO - [LOG] Gesture: X | FPS: 30.04 | Ratio: 0.59 | Similarity: 98.49%
2025-02-24 21:19:18,044 - INFO - [LOG] Gesture: X | FPS: 30.09 | Ratio: 0.59 | Similarity: 98.50%
2025-02-24 21:19:18,078 - INFO - [LOG] Gesture: X | FPS: 28.97 | Ratio: 0.60 | Similarity: 99.24%
2025-02-24 21:19:18,143 - INFO - [LOG] Gesture: X | FPS: 15.70 | Ratio: 0.59 | Similarity: 98.72%
2025-02-24 21:19:18,175 - INFO - [LOG] Gesture: X | FPS: 29.64 | Ratio: 0.59 | Similarity: 98.28%
2025-02-24 21:19:18,209 - INFO - [LOG] Gesture: X | FPS: 29.44 | Ratio: 0.59 | Similarity: 98.72%
2025-02-24 21:19:18,245 - INFO - [LOG] Gesture: X | FPS: 28.62 | Ratio: 0.59 | Similarity: 98.53%
2025-02-24 21:19:18,277 - INFO - [LOG] Gesture: X | FPS: 30.57 | Ratio: 0.59 | Similarity: 97.77%
2025-02-24 21:19:18,311 - INFO - [LOG] Gesture: X | FPS: 29.65 | Ratio: 0.59 | Similarity: 97.89%
2025-02-24 21:19:18,342 - INFO - [LOG] Gesture: X | FPS: 31.82 | Ratio: 0.59 | Similarity: 98.16%
2025-02-24 21:19:18,375 - INFO - [LOG] Gesture: X | FPS: 30.73 | Ratio: 0.59 | Similarity: 98.38%
2025-02-24 21:19:18,408 - INFO - [LOG] Gesture: X | FPS: 30.39 | Ratio: 0.59 | Similarity: 97.67%
2025-02-24 21:19:18,440 - INFO - [LOG] Gesture: X | FPS: 29.65 | Ratio: 0.59 | Similarity: 98.49%
2025-02-24 21:19:18,476 - INFO - [LOG] Gesture: Not X | FPS: 29.11 | Ratio: 0.61 | Similarity: 99.13%
2025-02-24 21:19:18,510 - INFO - [LOG] Gesture: Not X | FPS: 29.53 | Ratio: 0.61 | Similarity: 98.42%
2025-02-24 21:19:18,576 - INFO - [LOG] Gesture: X | FPS: 15.24 | Ratio: 0.60 | Similarity: 99.72%
2025-02-24 21:19:18,606 - INFO - [LOG] Gesture: X | FPS: 31.21 | Ratio: 0.59 | Similarity: 98.69%
2025-02-24 21:19:18,642 - INFO - [LOG] Gesture: X | FPS: 28.63 | Ratio: 0.60 | Similarity: 99.24%
2025-02-24 21:19:18,675 - INFO - [LOG] Gesture: Not X | FPS: 30.12 | Ratio: 0.60 | Similarity: 99.94%
2025-02-24 21:19:18,711 - INFO - [LOG] Gesture: Not X | FPS: 28.25 | Ratio: 0.60 | Similarity: 99.21%
2025-02-24 21:19:18,743 - INFO - [LOG] Gesture: Not X | FPS: 30.75 | Ratio: 0.61 | Similarity: 99.13%
2025-02-24 21:19:18,778 - INFO - [LOG] Gesture: X | FPS: 29.13 | Ratio: 0.60 | Similarity: 99.48%
2025-02-24 21:19:18,810 - INFO - [LOG] Gesture: X | FPS: 30.65 | Ratio: 0.59 | Similarity: 98.29%
2025-02-24 21:19:18,841 - INFO - [LOG] Gesture: X | FPS: 31.89 | Ratio: 0.59 | Similarity: 97.87%
2025-02-24 21:19:18,875 - INFO - [LOG] Gesture: X | FPS: 29.90 | Ratio: 0.59 | Similarity: 99.08%
2025-02-24 21:19:18,909 - INFO - [LOG] Gesture: Not X | FPS: 29.45 | Ratio: 0.60 | Similarity: 99.22%
2025-02-24 21:19:18,942 - INFO - [LOG] Gesture: X | FPS: 30.40 | Ratio: 0.60 | Similarity: 99.31%
2025-02-24 21:19:18,976 - INFO - [LOG] Gesture: X | FPS: 30.00 | Ratio: 0.58 | Similarity: 96.72%
2025-02-24 21:19:19,011 - INFO - [LOG] Gesture: X | FPS: 28.38 | Ratio: 0.58 | Similarity: 96.74%
2025-02-24 21:19:19,043 - INFO - [LOG] Gesture: X | FPS: 30.88 | Ratio: 0.59 | Similarity: 99.07%
2025-02-24 21:19:19,075 - INFO - [LOG] Gesture: Not X | FPS: 31.10 | Ratio: 0.61 | Similarity: 99.16%
2025-02-24 21:19:19,109 - INFO - [LOG] Gesture: Not X | FPS: 29.22 | Ratio: 0.60 | Similarity: 99.27%
2025-02-24 21:19:19,142 - INFO - [LOG] Gesture: X | FPS: 30.98 | Ratio: 0.60 | Similarity: 99.84%
2025-02-24 21:19:19,175 - INFO - [LOG] Gesture: X | FPS: 29.96 | Ratio: 0.60 | Similarity: 99.52%
2025-02-24 21:19:19,210 - INFO - [LOG] Gesture: X | FPS: 28.81 | Ratio: 0.59 | Similarity: 98.76%
2025-02-24 21:19:19,244 - INFO - [LOG] Gesture: Not X | FPS: 29.13 | Ratio: 0.60 | Similarity: 99.99%
2025-02-24 21:19:19,309 - INFO - [LOG] Gesture: X | FPS: 15.65 | Ratio: 0.60 | Similarity: 99.84%
2025-02-24 21:19:19,343 - INFO - [LOG] Gesture: Not X | FPS: 28.53 | Ratio: 0.60 | Similarity: 99.92%
2025-02-24 21:19:19,375 - INFO - [LOG] Gesture: Not X | FPS: 31.31 | Ratio: 0.60 | Similarity: 99.82%
2025-02-24 21:19:19,411 - INFO - [LOG] Gesture: Not X | FPS: 28.14 | Ratio: 0.60 | Similarity: 99.75%
2025-02-24 21:19:19,443 - INFO - [LOG] Gesture: Not X | FPS: 30.48 | Ratio: 0.60 | Similarity: 99.32%
2025-02-24 21:19:19,477 - INFO - [LOG] Gesture: Not X | FPS: 29.83 | Ratio: 0.60 | Similarity: 99.67%
2025-02-24 21:19:19,543 - INFO - [LOG] Gesture: X | FPS: 15.46 | Ratio: 0.60 | Similarity: 99.66%
2025-02-24 21:19:19,575 - INFO - [LOG] Gesture: Not X | FPS: 29.82 | Ratio: 0.60 | Similarity: 99.80%
2025-02-24 21:19:19,608 - INFO - [LOG] Gesture: Not X | FPS: 30.24 | Ratio: 0.60 | Similarity: 99.42%
2025-02-24 21:19:19,643 - INFO - [LOG] Gesture: Not X | FPS: 28.60 | Ratio: 0.60 | Similarity: 99.76%
2025-02-24 21:19:19,675 - INFO - [LOG] Gesture: Not X | FPS: 30.91 | Ratio: 0.64 | Similarity: 93.54%
2025-02-24 21:19:19,710 - INFO - [LOG] Gesture: Not X | FPS: 28.48 | Ratio: 0.71 | Similarity: 82.47%
2025-02-24 21:19:19,741 - INFO - [LOG] Gesture: Not X | FPS: 32.25 | Ratio: 0.88 | Similarity: 53.03%
2025-02-24 21:19:19,775 - INFO - [LOG] Gesture: Not X | FPS: 30.01 | Ratio: 0.94 | Similarity: 43.94%
2025-02-24 21:19:19,807 - INFO - [LOG] Gesture: Not X | FPS: 30.78 | Ratio: 0.90 | Similarity: 50.24%
2025-02-24 21:19:19,840 - INFO - [LOG] Gesture: Not X | FPS: 30.45 | Ratio: 0.89 | Similarity: 51.80%
2025-02-24 21:19:19,876 - INFO - [LOG] Gesture: Not X | FPS: 28.36 | Ratio: 0.87 | Similarity: 54.58%
2025-02-24 21:19:19,910 - INFO - [LOG] Gesture: Not X | FPS: 29.38 | Ratio: 0.86 | Similarity: 55.91%
2025-02-24 21:19:19,945 - INFO - [LOG] Gesture: Not X | FPS: 28.81 | Ratio: 0.86 | Similarity: 56.69%
2025-02-24 21:19:20,009 - INFO - [LOG] Gesture: Not X | FPS: 15.52 | Ratio: 0.85 | Similarity: 58.08%
2025-02-24 21:19:20,041 - INFO - [LOG] Gesture: Not X | FPS: 30.71 | Ratio: 0.84 | Similarity: 59.19%
